repo,lists
shadowsocks/shadowsocks-windows,UNCATEGORIZED
usememos/memos,Go / 后端;云原生 / DevOps;工具 / 效率
jaywcjlove/reference,云原生 / DevOps;工具 / 效率
visiky/resume,面试 / 八股
zhisheng17/flink-learning,分布式 / 系统设计
illacloud/illa-builder,AI / Agent;分布式 / 系统设计;工具 / 效率
HappyCerberus/book-cpp-algorithms,算法;C / C++;软技能 / 职业
eliaszon/Programmers-Overseas-Job-Interview-Handbook,面试 / 八股;软技能 / 职业
zdz/ServerStatus-Rust,Rust
nilbuild/design-patterns-for-humans,软技能 / 职业
AmazingAng/WTF-Solidity,软技能 / 职业
yangxuechen/resume_vue3_ts,面试 / 八股;工具 / 效率
chubin/wttr.in,Go / 后端
multiprocessio/datastation,分布式 / 系统设计;云原生 / DevOps
phachon/mm-wiki,Go / 后端
google/comprehensive-rust,Rust;软技能 / 职业
Codesire-Deng/TemplateRepoCxx,C / C++;工具 / 效率
go-telegram-bot-api/telegram-bot-api,Go / 后端
Jackpopc/DevWeekly,UNCATEGORIZED
jerryc127/hexo-theme-butterfly,UNCATEGORIZED
xuxiaodong/usingcli-book,软技能 / 职业
CompassSecurity/Hacking_Tools_Cheat_Sheet,UNCATEGORIZED
Visualize-ML/Book4_Power-of-Matrix,LLM 基础
timqian/chinese-independent-blogs,UNCATEGORIZED
hehonghui/awesome-english-ebooks,工具 / 效率;软技能 / 职业
haizlin/fe-interview,面试 / 八股;工具 / 效率
public-apis/public-apis,UNCATEGORIZED
jlevy/the-art-of-command-line,云原生 / DevOps
AZeC4/TelegramGroup,UNCATEGORIZED
mfontanini/libtins,C / C++
vaxilu/x-ui,UNCATEGORIZED
xxlllq/system_architect,UNCATEGORIZED
ssnhd/googlevoice,UNCATEGORIZED
auspbro/ebook-c,软技能 / 职业
milanm/DevOps-Roadmap,云原生 / DevOps;软技能 / 职业
koishijs/novelai-bot,AI / Agent
dean2021/goss,Go / 后端
zhaohongxuan/obsidian-weread-plugin,UNCATEGORIZED
yzy1996/English-Writing,UNCATEGORIZED
dunwu/nginx-tutorial,云原生 / DevOps;软技能 / 职业
clown-coding/vpn,UNCATEGORIZED
gonglei007/GameDevMind,C / C++;云原生 / DevOps;软技能 / 职业
phil-opp/blog_os,C / C++;Rust
rust-unofficial/awesome-rust,Rust;工具 / 效率
renyijiu/douyin_downloader,UNCATEGORIZED
guangzhengli/k8s-tutorials,Go / 后端;云原生 / DevOps;软技能 / 职业
alibaba/nacos,AI / Agent;Go / 后端;分布式 / 系统设计;云原生 / DevOps
IBM/sarama,Go / 后端;分布式 / 系统设计
influxdata/influxdb1-client,Go / 后端
apache/hertzbeat,AI / Agent;LLM 基础;Go / 后端;分布式 / 系统设计;云原生 / DevOps
Chenyu-otf/chenyuluoyan_thin,UNCATEGORIZED
nnethercote/perf-book,Rust;软技能 / 职业
influxdata/influx-stress,Go / 后端;工具 / 效率
